다|多
다부축지금수|多不畜之禽獸
다부합경|多不合經
다부해례|多不解禮
다부해예|多不解禮
다부형향|多不馨香
다분|多本
다분도|多犇渡
다분비전|多糞肥田
다불감쟁|多不敢爭
다불과오|多不過五
다불과지|多不過之
다불긍위이유무익자|多不肯爲而惟無益者
다불기재위지년|多不記在位之年
다불기재위지연|多不記在位之年
다불덕|多不德
다불동자|多不同者
다불령남만교위|多不領南蠻校尉
다불법|多不法
다불봉법|多不奉法
다불수|多不受
다불숙|多不肅
다불식례|多不識禮
다불식예|多不識禮
다불양자|多不養子
다불영남만교위|多不領南蠻校尉
다불이실|多不以實
다불이실자점|多不以實自占
다불이자|多不以次
다불이차|多不以次
다불자안|多不自安
다불지귀이유무용자|多不知貴而惟無用者
다불지례|多不識禮
다불지예|多不識禮
다불지형제지애|多不知兄弟之愛
다불축지금수|多不畜之禽獸
다불합경|多不合經
다불해례|多不解禮
다불해예|多不解禮
다불형향|多不馨香
다비|多辟
다비기실|多非其實
다비기인|多非其人
다비기절|多非其節
다비노자문|多非老子文
다비량곡|多費糧穀
다비량선|多非良善
다비로자문|多非老子文
다비명사|多辟名士
다비신실지언|多非信實之言
다비양곡|多費糧穀
다비양선|多非良善
다비지위치|多費之謂侈
다사|多事
다사|多士
다사|多死
다사|多詐
다사걸색소인|多事乞索小人
다사기우|多詐欺愚
다사다방개언지|多士多方皆言之
다사다환|多事多患
다사막|多士貌
다사모|多士貌
다사사이|多事四夷
다사소칭석진내자엄|多士所稱昔朕来自奄
다사소칭석진래자엄|多士所稱昔朕来自奄
다사소칭석짐내자엄|多士所稱昔朕来自奄
다사소칭석짐래자엄|多士所稱昔朕来自奄
다사시귀정명년지사|多士是歸政明年之事
다사시귀정명연지사|多士是歸政明年之事
다사식녕|多士寔寧
다사식령|多士寔寧
다사식영|多士寔寧
다사영조|多士盈朝
다사이과공|多事而寡功
다사이귀보언|多徙而歸保焉
다사이보언|多徙而保焉
다사이하|多士已下
다사지림|多士之林
다사지용|多士之用
다사지임|多士之林
다사지편자지|多士之篇次之
