차|此
차개즉류호자강외촉미구지로|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외촉민구지노|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외촉민구지로|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외취면구지노|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외취면구지로|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외취미구지노|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외취미구지로|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외취민구지노|此蓋即劉胡自江外趣沔口之路
차개즉류호자강외취민구지로|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외촉면구지노|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외촉면구지로|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외촉미구지노|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외촉미구지로|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외촉민구지노|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외촉민구지로|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외취면구지노|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외취면구지로|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외취미구지노|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외취미구지로|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외취민구지노|此蓋即劉胡自江外趣沔口之路
차개즉유호자강외취민구지로|此蓋即劉胡自江外趣沔口之路
차개지동이지반야|此皆知同異之反也
차개지려기졸오|此皆砥礪其卒伍
차개지리|此皆至理
차개지방삭백리|此皆地方數百里
차개지방삭백이|此皆地方數百里
차개지방수백리|此皆地方數百里
차개지방수백이|此皆地方數百里
차개지방촉백리|此皆地方數百里
차개지방촉백이|此皆地方數百里
차개지선대행효지왕|此皆指先代行孝之王
차개지신가견지병이언|此皆指身可見之病而言
차개지신가현지병이언|此皆指身可見之病而言
차개지여기졸오|此皆砥礪其卒伍
차개지이|此皆至理
차개진력필의|此皆盡力畢議
차개진역필의|此皆盡力畢議
차개진유야|此皆秦有也
차개질|此皆疾
차개징부의야|此皆懲不義也
차개징불의야|此皆懲不義也
차개차위력자|此蓋借爲礫字
차개차위역자|此蓋借爲礫字
차개차인|此盖借引
차개처지형제야|此蓋妻之兄弟也
차개천석폐하양융적이안국|此蓋天錫陛下攘戎狄而安國
차개천석폐하향융적이안국|此蓋天錫陛下攘戎狄而安國
차개천지미정자야|此皆天之未定者也
차개천찬국가|此皆天賛國家
차개초시위사|此蓋初試爲士
차개촉십년지내|此皆數十年之內
차개촉십연지내|此皆數十年之內
차개추원화단지논|此蓋推原禍端之論
차개추원화단지론|此蓋推原禍端之論
차개춘추지제야|此皆春秋之制也
차개출어천이비인지소능위|此皆出於天而非人之所能爲
차개출오천이비인지소능위|此皆出於天而非人之所能爲
차개출천연|此皆出天然
차개충신소위호|此豈忠臣所爲乎
차개취설어|此皆取說於
차개취설오|此皆取說於
차개취세어|此皆取說於
차개취세오|此皆取說於
차개취열어|此皆取說於
차개취열오|此皆取說於
차개취탈어|此皆取說於
차개취탈오|此皆取說於
차개탈제사엄경지사야|此皆說祭祀嚴敬之事也
차개태공지교순|此皆太公之敎訓
차개태공지교순야|此皆太公之敎訓也
차개태공지교훈|此皆太公之敎訓
차개태공지교훈야|此皆太公之敎訓也
차개퇴원화단지논|此蓋推原禍端之論
차개퇴원화단지론|此蓋推原禍端之論
차개편사|此皆偏辭
차개필연지상리|此蓋必然之常理
차개필연지상이|此蓋必然之常理
차개향음주시|此皆鄕飮酒時
차개호문이견|此皆互文以見
차개호문이현|此皆互文以見
차개호이부사지설이|此蓋好異不思之說耳
차개호이부사지세이|此蓋好異不思之說耳
차개호이부사지열이|此蓋好異不思之說耳
차개호이부사지탈이|此蓋好異不思之說耳
차개호이불사지설이|此蓋好異不思之說耳
차개호이불사지세이|此蓋好異不思之說耳
차개호이불사지열이|此蓋好異不思之說耳
차개호이불사지탈이|此蓋好異不思之說耳
차개효자사친소략지절|此皆孝子事親疏略之節
차개효자사친소약지절|此皆孝子事親疏略之節
차개후세석교기권이오이논성현지학야|此蓋後世釋敎機權而誤以論聖賢之學也
차개후세석교기권이오이론성현지학야|此蓋後世釋敎機權而誤以論聖賢之學也
차개후인부효문의이망가지|此蓋後人不曉文義而妄加之
차개후인불효문의이망가지|此蓋後人不曉文義而妄加之
차개흉상소연이언흉야|此皆凶狀灼然而言凶也
차개흉상작연이언흉야|此皆凶狀灼然而言凶也
차개흉장소연이언흉야|此皆凶狀灼然而言凶也
차개흉장작연이언흉야|此皆凶狀灼然而言凶也
차객헌부사지약|且客獻不死之藥
차객헌불사지약|且客獻不死之藥
차갱계지|此更戒之
차갱광진엄부지유|此更廣陳嚴父之由
차갱위적자야|此更爲適者也
차거|且去
차거|此擧
차거|車渠
차거|此舉
차거가가지월|此去可歌之月
차거간사|斥去姦邪
차거경문이결지|此擧經文以結之
차거고대위언|此擧高大爲言
차거국상류|且居國上流
차거국상유|且居國上流
차거기원|此舉其原
차거기중|此居其中
차거기태심|且去其太甚
차거낙고탄보문무수명유칠년지설야|此據洛誥誕保文武受命惟七年之說也
차거낙고탄보문무수명유칠년지세야|此據洛誥誕保文武受命惟七年之說也
차거낙고탄보문무수명유칠년지열야|此據洛誥誕保文武受命惟七年之說也
차거낙고탄보문무수명유칠년지탈야|此據洛誥誕保文武受命惟七年之說也
차거낙고탄보문무수명유칠연지설야|此據洛誥誕保文武受命惟七年之說也
