차|此
충막무진이만리겸해|冲漠無朕而萬理兼該
충막무진이만이겸해|冲漠無朕而萬理兼該
충막무짐이만리겸해|冲漠無朕而萬理兼該
충막무짐이만이겸해|冲漠無朕而萬理兼該
충막지우룡|蟲莫知于龍
충막지우용|蟲莫知于龍
충만|充滿
충만대천지하|充滿大天之下
충만조정|充滿朝廷
충만천지|充滿天地
충맥무진이만리겸해|冲漠無朕而萬理兼該
충맥무진이만이겸해|冲漠無朕而萬理兼該
충맥무짐이만리겸해|冲漠無朕而萬理兼該
충맥무짐이만이겸해|冲漠無朕而萬理兼該
충맥지우룡|蟲莫知于龍
충맥지우용|蟲莫知于龍
충면관사죄|充免冠謝罪
충명|蟲名
충명독창|忠名獨彰
충명어|蟲鳴於
충명어추|蟲鳴於秋
충명오|蟲鳴於
충명오추|蟲鳴於秋
충명종|充名宗
충모지우룡|蟲莫知于龍
충모지우용|蟲莫知于龍
충무|忠武
충무군|忠武軍
충무군마보군도우후|忠武軍馬步軍都虞侯
충무군절도사|忠武軍節度使
충무군표주진주자사|忠武軍表犨陳州刺史
충무팔도|忠武八都
충묵연|充黙然
충문|充滿
충문|忠文
충문대천지하|充滿大天之下
충문조정|充滿朝廷
충문천지|充滿天地
충백주|充白奏
충범인주지노|忠犯人主之怒
충병|沖兵
충봉|衷封
충봉자|衷封者
충부고|充府庫
충부규|充父逵
충부닉정|忠不匿情
충부답|充不答
충부문각대제|充敷文閣待制
충불|种拂
충불닉정|忠不匿情
충불답|充不答
충비시종재시청지관|充備侍從在視聽之官
충비횡횡|蟲飛薨薨
충비훙훙|蟲飛薨薨
충사|忠嗣
충사덕|充四德
충사미분|忠邪靡分
충사야|忠事也
충사절구|忠士折口
충사충모|忠事忠謀
충사필변|忠邪畢辨
충사필판|忠邪畢辨
충사필편|忠邪畢辨
충삭|充溢
충삭전명세이기개|充欲專名勢而忌愷
충상여풍구견기|沖嘗與豐俱見畿
충상여풍구현기|沖嘗與豐俱見畿
충상유형자|衝上有衡字
충새|充塞
충새공려|充塞公閭
충새공여|充塞公閭
충새렬위|充塞列位
충새열위|充塞列位
충새인의야|充塞仁義也
충생자륜|忠生自倫
충생자윤|忠生自倫
충생지|蟲生之
충서|忠恕
충서위도부원|忠恕違道不遠
충서위도불원|忠恕違道不遠
충서이이의|忠恕而已矣
충서한수지자|充壻韓壽之子
충석|充石
충선|充選
충선|忠善
충선|忠宣
충선|衷善
충선공|忠宣公
충선공작춘추시|忠宣公作春秋詩
충선야|衷善也
충섬|沖澹
충섬|冲澹
충성|忠誠
충성간측|忠誠懇惻
충성감동어군|忠誠感動於君
충성감동오군|忠誠感動於君
충성개절|忠誠剴切
충성독지지신|忠誠篤至之臣
충성야|忠誠也
충성즐즐|蟲聲喞喞
충성현저|忠誠顯著
충성현착|忠誠顯著
충세시제사|充歲時祭祀
충소호학|沖素好學
충속전명세이기개|充欲專名勢而忌愷
충손|充選
충수원악|充雖元惡
충수지사|蟲獸之食
충수지식|蟲獸之食
충숙|忠肅
충숙공의|忠肅共懿
충숙전명세이기개|充欲專名勢而忌愷
충순|忠純
충순|忠順
충순근노|忠順勤勞
충순근로|忠順勤勞
충순부실|忠順不失
충순불실|忠順不失
충순이부해|忠順而不懈
충순이불해|忠順而不懈
충시|充溢
충시어군|忠施於君
충시오군|忠施於君
충시조수지총명야|蟲是鳥獸之總名也
충신|忠信
충신|忠臣
충신|忠藎
충신가우|忠信可友
충신간쟁기군|忠臣諫爭其君
충신거국|忠臣去國
충신균변|忠信均辨
충신균판|忠信均辨
충신균편|忠信均辨
충신량사|忠臣良士
충신명|忠臣名
충신성능연후감수직|忠臣誠能然後敢受職
충신소이진덕야|忠信所以進德也
충신수상|忠臣受賞
충신애경지지의|忠信愛敬之至矣
충신애리형호하|忠信愛利形乎下
충신애이형호하|忠信愛利形乎下
충신야|忠信也
충신야|忠臣也
충신양사|忠臣良士
충신위사이부이기죄|忠臣危死而不以其罪
충신위사이불이기죄|忠臣危死而不以其罪
충신위주야|忠信爲周也
충신위태|忠臣危殆
충신의사|忠臣義士
충신이관의|忠信而寬矣
충신이부고|忠信而不楛
충신이부유|忠信而不諛
충신이부호|忠信而不楛
충신이불고|忠信而不楛
충신이불유|忠信而不諛
충신이불호|忠信而不楛
충신이위질|忠信以爲質
충신이통지|忠信以統之
충신이행|忠信而行
충신자|忠藎者
충신자상|忠信慈祥
충신제간|忠臣除姦
충신조화균변지지야|忠信調和均辨之至也
충신조화균판지지야|忠信調和均辨之至也
충신조화균편지지야|忠信調和均辨之至也
충신중녹|忠信重祿
충신중록|忠信重祿
충신즉무부정지언|忠信則無不正之言
충신즉무불정지언|忠信則無不正之言
충신즉부연|忠臣則不然
충신즉불연|忠臣則不然
충신지간군|忠臣之諫君
충신지간유오|忠臣之諫有五
충신지박|忠信之薄
충신지박야|忠信之薄也
충신지박이난지|忠信之薄而亂之
충신지박이란지|忠信之薄而亂之
충신지사즉가|忠信之事則可
충신지사칙가|忠信之事則可
충신지소낙이간신지소부편야|忠臣之所樂而姦臣之所不便也
충신지소낙이간신지소불편야|忠臣之所樂而姦臣之所不便也
충신지소락이간신지소부편야|忠臣之所樂而姦臣之所不便也
충신지소락이간신지소불편야|忠臣之所樂而姦臣之所不便也
충신지소악이간신지소부편야|忠臣之所樂而姦臣之所不便也
충신지소악이간신지소불편야|忠臣之所樂而姦臣之所不便也
충신지소요이간신지소부편야|忠臣之所樂而姦臣之所不便也
충신지소요이간신지소불편야|忠臣之所樂而姦臣之所不便也
충신지소이사군야|忠臣之所以事君也
충신지심|忠臣之心
충신지절|忠臣之節
충신지질|忠信之質
충신진절|忠臣盡節
충신진충어상|忠臣盡忠於上
충신진충오상|忠臣盡忠於上
충신칙무부정지언|忠信則無不正之言
충신칙무불정지언|忠信則無不正之言
충신칙부연|忠臣則不然
충신칙불연|忠臣則不然
충신폐새|忠臣蔽塞
충신필명지추야|忠臣畢命之秋也
충신해절|忠臣懈節
충신효자부인묵이|忠臣孝子不忍默爾
충신효자불인묵이|忠臣孝子不忍默爾
충신효자즉감동이사군친지부득동낙야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지부득동락야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지부득동악야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지부득동요야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지불득동낙야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지불득동락야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지불득동악야|忠臣孝子則感動而思君親之不得同樂也
충신효자즉감동이사군친지불득동요야|忠臣孝子則感動而思君親之不得同樂也
충신효자지극야|忠臣孝子之極也
충신효자지정|忠臣孝子之情
충신효자칙감동이사군친지부득동낙야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지부득동락야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지부득동악야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지부득동요야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지불득동낙야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지불득동락야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지불득동악야|忠臣孝子則感動而思君親之不得同樂也
충신효자칙감동이사군친지불득동요야|忠臣孝子則感動而思君親之不得同樂也
충실|充實
충실|忠實
충실삭천하지부|忠實欲天下之富
충실생지|蟲實生之
충실속천하지부|忠實欲天下之富
충실수정|忠實守正
충실숙천하지부|忠實欲天下之富
충실야|充實也
충실욕천하지부|忠實欲天下之富
충실유천하지부|忠實欲天下之富
충실이유광휘지위대|充實而有光輝之謂大
충실즉집취|充實則集聚
충실지위미|充實之謂美
충실칙집취|充實則集聚
충심|忠心
충심|衷心
충심독후|忠心篤厚
충심삭대왕사|忠心欲代王死
충심속대왕사|忠心欲代王死
충심숙대왕사|忠心欲代王死
충심욕대왕사|忠心欲代王死
충심유대왕사|忠心欲代王死
충아|衝牙
충아비주|衝牙蚍珠
충악사지응|充樂社祗應
충야|充也
충야|忠也
충약정원|沖約清遠
충약청원|沖約清遠
충양|忠良
충양무죄|忠良無罪
충양소이우차|忠良所以憂嗟
충양절언|忠良切言
충양지|忠養之
충어|蟲魚
충어국|忠於國
충어군|忠於君
충어정군|忠於鄭君
충어지물|蟲魚之物
충어지속|蟲魚之屬
충어지중|蟲魚之中
충어지촉|蟲魚之屬
충어폐하|忠於陛下
충언|忠焉
충언|忠言
충언당논|忠言讜論
충언당론|忠言讜論
충언불어이|忠言拂於耳
충언불오이|忠言拂於耳
충언비어약석|忠言比於藥石
충언비오약석|忠言比於藥石
충언야|忠言也
충언역이|忠言逆耳
충언역이이리어행|忠言逆耳而利於行
충언역이이리오행|忠言逆耳而利於行
충언역이이이어행|忠言逆耳而利於行
충언역이이이오행|忠言逆耳而利於行
충언일경|忠言日梗
충언일소|忠言日疎
충언자|忠言者
충언충설|忠言忠說
충언충세|忠言忠說
충언충열|忠言忠說
충언충탈|忠言忠說
충여|充女
충여시중임개|充與侍中任愷
충여신|忠與信
충여충|衷與忠
충역|忠力
충역거다|充力居多
충연|充然
충연|爞然
충연무복렴치지색자|充然無復廉恥之色者
충연무복염치지색자|充然無復廉恥之色者
충연이심미|沖然而甚微
충열|忠烈
충열공|忠烈公
충열명존|忠烈名存
충열지사|忠烈之士
충염|忠廉
충영|充盈
충영관|充盈館
충영대우이부조|充盈大宇而不窕
충영대우이부조위구|充盈大宇而不窕爲句
충영대우이불조|充盈大宇而不窕
충영대우이불조위구|充盈大宇而不窕爲句
충영여정미대|充盈與精微對
충영태우이부조|充盈太宇而不窕
충영태우이불조|充盈太宇而不窕
충영호대우|充盈乎大㝢
충영호천우|充盈乎天宇
충예충색|忠譽忠愬
충예충소|忠譽忠愬
충오국|忠於國
충오군|忠於君
충오정군|忠於鄭君
충오폐하|忠於陛下
충와유모|忠果有謀
충왈|充曰
충왈|忠曰
충왈|沖曰
충왈|冲曰
충왕|忠王
충왕명여|忠王名璵
충요|衝要
충요사지응|充樂社祗應
충요지지|衝要之地
충욕전명세이기개|充欲專名勢而忌愷
충용|充用
충용|忠勇
충우|充虞
충우노문왈|充虞路問曰
충우로문왈|充虞路問曰
충우청왈|充虞請曰
충위리의|衷爲裏衣
충위이의|衷爲裏衣
충위이이|充位而已
충위인교첨|充爲人巧諂
충위질|忠爲質
충위충|衷爲忠
충위후장군|忠爲後將軍
충유|蟲類
충유|蟲有
충유소옹새|忠有所雍塞
충유야|蟲類也
충유여이식부족|忠有餘而識不足
충유여이식부주|忠有餘而識不足
충유여이식불족|忠有餘而識不足
충유여이식불주|忠有餘而識不足
충유여이지부족|忠有餘而識不足
충유여이지부주|忠有餘而識不足
충유여이지불족|忠有餘而識不足
충유여이지불주|忠有餘而識不足
충유여이치부족|忠有餘而識不足
충유여이치부주|忠有餘而識不足
충유여이치불족|忠有餘而識不足
충유여이치불주|忠有餘而識不足
충유우|蟲有蚘
충유전명세이기개|充欲專名勢而忌愷
충유지의지진야|充類至義之盡也
충유출|蟲流出
충유출시부장|蟲流出尸不葬
충유출시불장|蟲流出尸不葬
충유출호이부장|蟲流出戶而不葬
충유출호이불장|蟲流出戶而不葬
충유호외언|虫流戶外焉
충유회|蟲有蚘
충유회자|蟲有螝者
충융|衝隆
충은군일조호책|充殷君一朝戲責
충은군일조희책|充殷君一朝戲責
충음중|衷音中
충의|忠懿
충의|忠矣
충의|忠義
충의분발|忠義奮發
충의야|忠義也
충의유선|忠義攸先
충의재|忠矣哉
충의전|忠義傳
충의지사출|忠義之士出
충의지신|忠義之臣
충의창어본조|忠義彰於本朝
충의창어분조|忠義彰於本朝
충의창오본조|忠義彰於本朝
충의창오분조|忠義彰於本朝
충이|充耳
충이군부용|忠而君不用
충이군불용|忠而君不用
충이근강|忠而勤强
충이능력|忠而能力
충이능역|忠而能力
충이대지|充而大之
충이목지관|充耳目之官
충이부순자|忠而不順者
충이불순자|忠而不順者
충이속리|充以屬吏
충이속이|充以屬吏
충이수실|充耳琇實
충이수영|充耳琇瑩
충이수영|充耳琇瑩
충이시속|充以時俗
충이야|充耳也
충이어군|忠施於君
충이오군|忠施於君
충이위국|忠以衛國
충이위질|忠以爲質
충이이설|充耳而設
충이이설진|充耳而設瑱
충이이소호이|充耳以素乎而
충이이청호이|充耳以靑乎而
충이이황호이|充耳以黃乎而
충이촉리|充以屬吏
충이촉이|充以屬吏
충이추강지공|沖以追羌之功
충이퇴강지공|沖以追羌之功
충익|忠益
충인|充人
충인결기백여척|衝人決起百餘尺
충인궁실|充牣宮室
충인서견|忠因恕見
충인서현|忠因恕見
충인장계제사지생전|充人掌繫祭祀之牲牷
충일|充溢
충일|忠一
충일부이심지신|忠一不二心之臣
충일불이심지신|忠一不二心之臣
충일출외이실기소시야|充一出外而失其所恃也
충일출외이실기소치야|充一出外而失其所恃也
충임|充任
충임|充壬
충자|充字
충자|忠字
충자|忠者
충자|沖子
충자|衷者
충자돈모차자야|忠者敦慔此者也
충자문제시령병|充自文帝時領兵
충자문제시영병|充自文帝時領兵
충자성왕|沖子成王
충자시역지적|充自弑逆之賊
충자야지이|充子野之耳
충자왈|忠子曰
충자정여종흉강위운|衷字正與從凶江爲韻
충자준모차자야|忠者敦慔此者也
충자지간회시역|充自知姦回弑逆
충작충|虫作蟲
충장|充將
충재|蟲災
충적|充積
충전매년전조사십만석지삭|充填每年轉漕四十萬石之數
충전매년전조사십만석지수|充填每年轉漕四十萬石之數
충전매년전조사십만석지촉|充填每年轉漕四十萬石之數
충전매년전추사십만석지삭|充填每年轉漕四十萬石之數
충전매년전추사십만석지수|充填每年轉漕四十萬石之數
충전매년전추사십만석지촉|充填每年轉漕四十萬石之數
충전매연전조사십만석지삭|充填每年轉漕四十萬石之數
충전매연전조사십만석지수|充填每年轉漕四十萬石之數
충전매연전조사십만석지촉|充填每年轉漕四十萬石之數
충전매연전추사십만석지삭|充填每年轉漕四十萬石之數
충전매연전추사십만석지수|充填每年轉漕四十萬石之數
충전매연전추사십만석지촉|充填每年轉漕四十萬石之數
충절|忠節
충절도사|充節度使
충절야|忠節也
충정|充庭
충정|忠定
충정|忠正
충정|忠貞
충정|衷情
충정경직|忠正鯁直
충정군절도부사|忠正君節度副使
충정야|忠貞也
충제|沖帝
충제|冲帝
충제이하|冲帝以下
충제지립|沖帝之立
충제지입|沖帝之立
충조|充竈
충족|充足
충종|充宗
충종명|充宗名
충주|充足
충주|忠州
충주별가|忠州別駕
충주자사|忠州刺史
충중|忠中
충즉봉표칭하|冲卽奉表稱賀
충즉진명|忠則盡命
충즉충의|忠則忠矣
충즉현지|忠則顯之
충즉화어중|忠則和於衆
충즉화오중|忠則和於衆
충지|充之
충지|忠志
충지계자훈왈|沖之啓子勛曰
충지교해자|蟲之狡害者
충지구실|忠智俱失
충지도야|忠之道也
충지속야|忠之屬也
충지어호|沖之於湖
충지오호|沖之於湖
충지위선|衷之爲善
충지위언|衷之爲言
충지유은|蟲之幽隱
충지은자야|蟲之隱者也
충지이찬|充之以餐
충지주|衝砥柱
충지지|忠之至
충지지사|忠志之士
충지지야|忠之至也
충지촉야|忠之屬也
충지폐|忠之敝
충지회남|充至淮南
충직|忠直
충직강결|忠直剛決
충직용과|忠直勇果
충직용관|忠直勇果
충직용나|忠直勇果
충직용라|忠直勇果
충직용와|忠直勇果
충직이내희후복|忠直而内希後福
충직지언|忠直之言
충질단조|沖質短祚
충집|种輯
충차|衝車
충차도|衝車圖
충차야|衝車也
충차절|衝車折
충참노|充慙怒
충창|忡悵
충채|蟲豸
충채부|蟲豸部
충채지류위지얼|蟲豸之類謂之孽
충채지유위지얼|蟲豸之類謂之孽
충처곽괴|充妻郭槐
충천|衝天
충청강개|忠淸彊介
충청뇌표이서이|冲請懷表而西以
충청뢰표이서이|冲請懷表而西以
충출|蟲出
충출우호|蟲出于戶
충충|沖沖
충충|蟲蟲
충충|忡忡
충충근명단|沖忠勤明斷
충충여유궁|充充如有窮
충측진명|忠則盡命
충치|蟲豸
충치부|蟲豸部
충치지류위지얼|蟲豸之類謂之孽
충치지유위지얼|蟲豸之類謂之孽
충칙진명|忠則盡命
충칙충의|忠則忠矣
충칙현지|忠則顯之
충칙화어중|忠則和於衆
충칙화오중|忠則和於衆
충파유력|充頗有力
충파유역|充頗有力
충팽|衝輣
충평|忠平
충평능|沖平陵
충평릉|沖平陵
충평자지소범부도|忠平自知所犯不道
충평자지소범불도|忠平自知所犯不道
충하진|充下陳
충한림학사|充翰林學士
충한임학사|充翰林學士
충항|衝降
충해|蟲害
충허|沖虛
충허지덕진경석문|沖虛至德真經釋文
충허지덕진경주|衝虛至德眞經注
충헌|忠獻
충헌공|忠憲公
충현|忠賢
충현내리|忠賢内離
충현내이|忠賢内離
충혜|忠惠
충호|种暠
충호난파|种暠欒巴
충호란파|种暠欒巴
충호음덕지성|充乎陰德之盛
충호천지지간|充乎天地之間
충화|充華
충환지|充患之
충효|忠孝
충효개비|忠孝皆備
충효근검|忠孝勤儉
충효도저|忠孝道著
충효도착|忠孝道著
충효미저|忠孝彌著
충효미착|忠孝彌著
충효부득병|忠孝不得竝
충효불득병|忠孝不得竝
충효위본|忠孝爲本
충효지극재차야|忠孝之極在此也
충효지인|忠孝之人
충효편|忠孝篇
충후|忠侯
충후|忠厚
충후야|忠厚也
충후유지행|忠厚有志行
충후지심야|忠厚之心也
충후지의|忠厚之意
충후지지|忠厚之至
충후지지야|忠厚之至也
충훈|忠勳
충휴복병|衝休伏兵
췌|萃
췌경중|揣輕重
췌공보|揣公輔
췌괘|萃卦
췌기정연기실|揣其情硏其實
췌도|萃道
췌도이대야|揣度而待也
췌도지공|揣度之工
췌득실|揣得失
췌마|揣摩
췌마억도지사진|揣摩臆度之私盡
췌마이구인지은|揣摩以鉤人之隱
췌마천하지세|揣摩天下之勢
췌부이례|萃不以禮
췌부이예|萃不以禮
췌불이례|萃不以禮
췌불이예|萃不以禮
췌사|贅詞
췌서|贅婿
췌소열의자|揣所悅意者
췌소열의자즉치기언|揣所悅意者則侈其言
췌소열의자칙치기언|揣所悅意者則侈其言
췌숙|萃孰
췌순량핵실지능|萃循良核實之能
췌순양핵실지능|萃循良核實之能
췌악|萃惡
췌어경사|萃於京師
췌어일문|萃於一門
췌여차여|萃如嗟如
췌역행렬지위|萃亦行列之謂
췌역행열지위|萃亦行列之謂
췌연|惴然
췌연묘연|惴然眇然
췌연수|萃淵藪
췌연수삼자|萃淵藪三者
췌연추|萃淵藪
췌영주삭평지심|揣英主削平之心
췌오경사|萃於京師
췌오일문|萃於一門
췌우림안|萃于臨安
췌우일관|萃于一官
췌우임안|萃于臨安
췌유위|萃有位
췌유위야|萃有位也
췌윤수|萃淵藪
췌윤수삼자|萃淵藪三者
췌의|贅矣
췌이무용자|贅而無用者
췌자|萃者
췌자부오|萃字不誤
췌자불오|萃字不誤
췌자역|悴者澤
췌자탁|悴者澤
췌자택|悴者澤
췌작비|萃作卑
췌적정즉전자예이금자좌|揣敵情則前者銳而今者挫
췌적정칙전자예이금자좌|揣敵情則前者銳而今者挫
췌제이기막침|揣帝以其貌寢
췌제이기모침|揣帝以其貌寢
췌지상의|揣知上意
췌지시|萃之時
췌지위체|萃之爲體
췌췌|惴惴
췌췌기률|惴惴其慄
췌췌기율|惴惴其慄
췌췌기표|惴惴其慓
췌췌소심|惴惴小心
췌췌언|惴惴焉
췌췌언유부득출대현지문|惴惴焉惟不得出大賢之門
췌췌언유불득출대현지문|惴惴焉惟不得出大賢之門
췌췌연공기부신|惴惴然恐其不伸
췌췌연공기불신|惴惴然恐其不伸
췌췌연부승기책|惴惴然不勝其責
췌췌연불승기책|惴惴然不勝其責
췌췌연심폐고수|惴惴然深閉固守
췌췌연약구투서절지위자|惴惴然若狗偷鼠竊之爲者
췌취|萃聚
췌취지시|萃聚之時
췌합저앙|揣合低昂
췌형|萃亨
취|聚
취가겸중서령|就加兼中書令
취가겸중서영|就加兼中書令
취가보육|就加保育
취가이배지야|就家而拜之也
취가인탁|驟加引擢
취가행|醉歌行
취각나체|醉狂裸體
취각라체|醉狂裸體
취각본교지|取各本挍之
취각분교지|取各本挍之
취각인|趣刻印
취간연어염|取肝㨎於鹽
취간연오염|取肝㨎於鹽
취간완구|聚姦玩寇
취간유어염|取肝㨎於鹽
취간유오염|取肝㨎於鹽
취간인|取姦人
취간지미선일구발명|就諫之未善一句發明
취감어자|取鑑於玆
취감오자|取鑑於玆
취강|取剛
취강남여탐낭중물이|取江南如探囊中物爾
취강소서|驟降詔書
취강유지중|就剛柔之中
취강재내야|取剛在內也
취강조서|驟降詔書
취강호질임|聚羌胡質任
취개과자신|取改過自新
취개휴|取介休
취거|聚居
취거|醉踞
취거성시위읍|聚居城市爲邑
취건륙룡지의|取乾六龍之義
취건륙용지의|取乾六龍之義
취건육룡지의|取乾六龍之義
취건육용지의|取乾六龍之義
취검내|取劍來
취검녹외집|吹劍錄外集
취검래|取劍來
취검록외집|吹劍錄外集
취견광고해속지위관|驟見曠古駭俗之偉觀
취견맹자왈|就見孟子曰
취견후종손황|取甄后從孫黃
취견후출|就牽后出
취결일부지용야|取決一夫之勇也
취겸|取兼
취경|就耕
취경|取郠
취경개|取耿介
취경사|趣京師
취고|就考
취고가어경읍|取高價於京邑
취고가오경읍|取高價於京邑
취고금지정영|聚古今之精英
취고진|取固鎭
취곡|取穀
취곡|聚哭
취곡기주|就穀冀州
취곡족일년사|聚榖足一年食
취곡족일년식|聚榖足一年食
취곡족일연사|聚榖足一年食
취곡족일연식|聚榖足一年食
취곡주일년사|聚榖足一年食
취곡주일년식|聚榖足一年食
취곡주일연사|聚榖足一年食
취곡주일연식|聚榖足一年食
취곡행재자|聚穀幸災者
취공법자|就公法者
취공지|就攻之
취과검자|取戈劍者
취과목전|取過目前
취과이참수|取戈以斬囚
취관자성부능무구어주인|就舘者誠不能無求於主人
취관자성부능무구오주인|就舘者誠不能無求於主人
취관자성불능무구어주인|就舘者誠不能無求於主人
취관자성불능무구오주인|就舘者誠不能無求於主人
취관차중인지|就寛車中認之
취광나체|醉狂裸體
취광라체|醉狂裸體
취광주|取光州
취괘이취|就卦而取
취괘이험명의|就卦以驗名義
취괴수|取怪獸
취교금작숙소두|翠翹金雀玉搔頭
취교금작숙소두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교금작숙조두|翠翹金雀玉搔頭
취교금작숙조두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교금작옥소두|翠翹金雀玉搔頭
취교금작옥소두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교금작옥조두|翠翹金雀玉搔頭
취교금작옥조두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교김작숙소두|翠翹金雀玉搔頭
취교김작숙소두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교김작숙조두|翠翹金雀玉搔頭
취교김작숙조두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교김작옥소두|翠翹金雀玉搔頭
취교김작옥소두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교김작옥조두|翠翹金雀玉搔頭
취교김작옥조두개부인수식|翠翹金雀玉搔頭皆婦人首飾
취교철|取撟掇
취구겸지신서지문야|取寇謙之神書之文也
취구녀|娶九女
취구림시|取具臨時
취구마무용지물|聚狗馬無用之物
취구사별책|取舊寫別冊
취구설위언어지구야|取口舌爲言語之具也
취구성|取九城
취구쇠|取臼衰
취구여|娶九女
취구임시|取具臨時
취구혐지신서지문야|取寇謙之神書之文也
취국|就國
취국족|聚國族
취국족어사|聚國族於斯
취국족오사|聚國族於斯
취군어주|就君於周
취군오주|就君於周
취군자능이은역하진어민|取君子能以恩澤下振於民
취군자능이은역하진어저|取君子能以恩澤下振於民
취군자능이은역하진어지|取君子能以恩澤下振於民
취군자능이은역하진오민|取君子能以恩澤下振於民
취군자능이은역하진오저|取君子能以恩澤下振於民
취군자능이은역하진오지|取君子能以恩澤下振於民
취군자능이은탁하진어민|取君子能以恩澤下振於民
취군자능이은탁하진어저|取君子能以恩澤下振於民
취군자능이은탁하진어지|取君子能以恩澤下振於民
취군자능이은탁하진오민|取君子能以恩澤下振於民
취군자능이은탁하진오저|取君子能以恩澤下振於民
취군자능이은탁하진오지|取君子能以恩澤下振於民
취군자능이은택하진어민|取君子能以恩澤下振於民
취군자능이은택하진어저|取君子能以恩澤下振於民
취군자능이은택하진어지|取君子能以恩澤下振於民
취군자능이은택하진오민|取君子能以恩澤下振於民
취군자능이은택하진오저|取君子能以恩澤下振於民
취군자능이은택하진오지|取君子能以恩澤下振於民
취굴재|臭厥載
취궐대|臭厥載
취궐재|臭厥載
취귀|醉歸
취귀장지|取歸藏之
취규|聚奎
취극즉산|聚極則散
취극칙산|聚極則散
취근죄지사이|聚近罪之事爾
취금숙급보기|取金玉及寶器
취금옥급보기|取金玉及寶器
취금위아탄|取琴爲我彈
취금인여두대|取金印如斗大
취급|取給
취급도노언|取給道路焉
취급도로언|取給道路焉
취급어도노언|取給於道路焉
취급어도로언|取給於道路焉
취급어민|取給於民
취급어저|取給於民
취급어지|取給於民
취급오도노언|取給於道路焉
취급오도로언|取給於道路焉
취급오민|取給於民
취급오저|取給於民
취급오지|取給於民
취기|取其
취기|就其
취기가명|取其嘉名
취기가시어례의자|取其可施於禮義者
취기가시어예의자|取其可施於禮義者
취기가시오례의자|取其可施於禮義者
취기가시오예의자|取其可施於禮義者
취기가이어례의자|取其可施於禮義者
취기가이어예의자|取其可施於禮義者
취기가이오례의자|取其可施於禮義者
취기가이오예의자|取其可施於禮義者
취기간위산|取其艮爲山
취기갑이식기물|取其甲以飾器物
취기강|取其剛
취기강동야|取其剛動也
취기강재어외|取其剛在於外
취기강재오외|取其剛在於外
취기강재외야|取其剛在外也
취기개지인가야|取其皆止人家也
취기걸연자|就其傑然者
취기견고야|取其堅固也
취기견야|取其堅也
취기견이중|取其堅而重
취기견이혈백|取其堅而絜白
취기결야|取其潔也
취기경경|取其勁輕
취기경예이봉지|取其鯨鯢而封之
취기고성|取其孤城
취기과실|取其果實
취기과후|取其過厚
취기관실|取其果實
취기구설지관야|取其口舌之官也
취기군이부당|取其群而不黨
취기군이부실기류|取其群而不失其類
취기군이부실기유|取其群而不失其類
취기군이불당|取其群而不黨
취기군이불실기류|取其群而不失其類
취기군이불실기유|取其群而不失其類
취기극음지색야|取其極陰之色也
취기금보|取其金寳
취기금수피각|取其禽獸皮角
취기금지인야|取其禁止人也
취기김보|取其金寳
취기나실|取其果實
취기냉야|取其冷也
취기녀|娶其女
취기녀위목건부|娶其女爲牧犍婦
취기뇌음기야|取其懷陰氣也
취기뇌음희야|取其懷陰氣也
취기능대만물야|取其能載萬物也
취기능복집중조|取其能服執衆鳥
취기능비이부뇨어주|取其能飛而不溺於酒
취기능비이부뇨오주|取其能飛而不溺於酒
취기능비이부닉어주|取其能飛而不溺於酒
취기능비이부닉오주|取其能飛而不溺於酒
취기능비이부요어주|取其能飛而不溺於酒
취기능비이부요오주|取其能飛而不溺於酒
취기능비이부익어주|取其能飛而不溺於酒
취기능비이부익오주|取其能飛而不溺於酒
취기능비이불뇨어주|取其能飛而不溺於酒
취기능비이불뇨오주|取其能飛而不溺於酒
취기능비이불닉어주|取其能飛而不溺於酒
취기능비이불닉오주|取其能飛而不溺於酒
취기능비이불요어주|取其能飛而不溺於酒
취기능비이불요오주|取其能飛而不溺於酒
취기능비이불익어주|取其能飛而不溺於酒
취기능비이불익오주|取其能飛而不溺於酒
취기능재만물야|取其能載萬物也
취기다번육이순지야|取其多蕃育而順之也
취기덕주|取其德州
취기동이견야|取其動而見也
취기동이행건야|取其動而行健也
